target_emotion,steering_mode,alpha,target_emotion_intensity,opposite_emotion_intensity,meaning_preservation,fluency_naturalness,oversteering_artifact,objective_score
surprise,last_token,0.0,2.05,2.25,7.45,7.8,1.5,-1.375
surprise,last_token,1.0,2.45,1.65,7.85,7.7,2.05,-1.21
surprise,last_token,2.0,2.15,2.2,7.6,7.6,2.15,-1.7549999999999997
surprise,last_token,3.0,1.85,2.3,7.45,7.6,2.45,-2.34
surprise,last_token,5.0,2.05,2.2,6.4,6.35,3.35,-3.9199999999999995
surprise,last_token,8.0,0.2,0.0,0.05,0.05,9.35,-16.294999999999998
surprise,none,-8.0,2.2,1.95,7.35,7.7,0.85,-0.8699999999999999
surprise,none,-5.0,2.2,2.15,7.45,7.75,0.75,-0.725
surprise,none,-3.0,2.2,1.95,7.5,7.55,1.05,-1.01
surprise,none,-2.0,2.3,2.0,7.4,7.4,1.35,-1.2449999999999999
surprise,none,-1.0,1.85,2.05,7.4,7.4,0.65,-1.2049999999999998
surprise,none,0.0,2.05,1.8,7.6,7.6,0.95,-1.015
surprise,none,1.0,2.4,2.0,7.45,7.6,1.7,-1.265
surprise,none,2.0,2.45,1.9,7.3,7.35,0.8,-0.7849999999999999
surprise,none,3.0,2.4,1.5,7.4,7.3,0.95,-0.915
surprise,none,5.0,2.45,2.1,7.45,7.5,1.2,-0.915
surprise,none,8.0,2.6,1.85,7.35,7.4,0.8,-0.585
trust,completion_tokens,-8.0,0.45,1.05,0.9,1.5,8.4,-14.23
trust,completion_tokens,-5.0,4.6,0.75,6.75,7.2,2.7,-0.3149999999999998
trust,completion_tokens,-3.0,5.2,0.35,7.1,7.15,2.8,0.3650000000000001
trust,completion_tokens,-2.0,4.95,0.25,7.6,7.9,2.05,1.2650000000000001
trust,completion_tokens,-1.0,5.15,0.25,7.9,7.95,1.5,2.025
trust,completion_tokens,0.0,5.1,0.15,7.9,8.0,1.0,2.35
trust,completion_tokens,1.0,5.55,0.3,7.95,8.1,1.3,2.665
trust,completion_tokens,2.0,6.0,0.55,8.45,8.4,1.25,3.55
trust,completion_tokens,3.0,5.0,0.35,7.4,7.9,2.25,1.075
trust,completion_tokens,5.0,3.5,0.1,6.45,6.9,2.3,-1.4349999999999998
trust,completion_tokens,8.0,0.0,0.0,0.05,0.1,8.3,-15.735
trust,last_token,-8.0,0.35,0.6,0.6,1.15,8.75,-14.9
trust,last_token,-5.0,3.7,0.7,6.45,6.85,3.15,-1.8549999999999998
trust,last_token,-3.0,5.0,0.25,7.1,7.2,3.25,-0.12500000000000006
trust,last_token,-2.0,4.75,0.3,7.25,7.35,2.5,0.3000000000000002
trust,last_token,-1.0,4.85,0.25,7.8,8.0,1.8,1.49
trust,last_token,0.0,4.55,0.15,7.8,7.85,1.1,1.605
trust,last_token,1.0,5.5,0.25,8.15,8.1,1.25,2.75
trust,last_token,2.0,5.7,0.5,8.3,8.2,1.65,2.795
trust,last_token,3.0,4.75,0.55,7.65,7.5,2.3,0.7150000000000001
trust,last_token,5.0,3.45,0.4,6.2,6.95,2.7,-1.8649999999999998
trust,last_token,8.0,0.0,0.0,0.05,0.15,9.25,-16.375
trust,none,-8.0,5.1,0.2,7.7,7.7,1.65,1.645
trust,none,-5.0,4.75,0.15,7.6,7.55,1.1,1.5550000000000002
trust,none,-3.0,4.8,0.3,7.65,7.7,1.45,1.4600000000000002
trust,none,-2.0,4.85,0.15,7.65,7.65,1.1,1.73
trust,none,-1.0,4.25,0.15,7.55,7.6,1.05,1.09
trust,none,0.0,4.55,0.15,7.6,7.6,0.8,1.59
trust,none,1.0,5.35,0.15,7.65,7.6,1.05,2.2399999999999998
trust,none,2.0,5.35,0.3,7.75,7.75,1.4,2.12
trust,none,3.0,5.5,0.15,7.7,7.75,1.15,2.42
trust,none,5.0,5.3,0.3,7.7,7.8,1.35,2.105
trust,none,8.0,5.35,0.15,7.7,7.7,1.1,2.2800000000000002
