emotion,local_pc,attr,n,rho_raw,rho_partial_intensity_and_judgeEI,abs_drop_ratio_vs_raw,sign_stable
anticipation,PC3,social_warmth,108,-0.09488843934505868,-0.1382515908472903,-0.45699088109714764,True
anticipation,PC3,certainty,108,-0.11355944004290178,-0.1921378782749872,-0.6919586623745166,True
anticipation,PC3,agency,108,-0.07013486298031525,-0.1402658490051392,-0.9999447214220352,True
anticipation,PC3,blame,108,0.17606193625635425,0.18309099730392228,-0.03992379725583275,True
anticipation,PC3,injustice,108,0.12874459438407979,0.15479165990568447,-0.20231579932512953,True
anticipation,PC3,relief,108,0.10200594448911543,0.06806896374657959,0.3326961081778631,True
anticipation,PC3,gratitude,108,0.2319615412911386,0.20997479998019467,0.09478614941322551,True
anticipation,PC3,loneliness,108,0.040885271023700084,0.07417773206075406,-0.8142898457920272,True
anticipation,PC3,disappointment,108,0.0905514550301242,0.11388727774518925,-0.2577078712573068,True
anticipation,PC3,uncertainty,108,0.11533369206814056,0.1814499097064479,-0.5732602195657194,True
anticipation,PC3,hope,108,-0.16641156087500167,-0.2623426374205229,-0.5764688224851088,True
anticipation,PC3,surprise_valence,108,-0.1675175216603074,-0.22817314824948826,-0.3620852671888171,True
disgust,PC1,valence,108,0.4486621547024244,0.2099554002366736,0.5320412073179501,True
disgust,PC1,arousal,108,-0.44575939189743696,-0.24135914936403635,0.4585438831997291,True
disgust,PC1,dominance,108,0.39643135107197003,0.11683898512043739,0.7052730950655164,True
disgust,PC1,emotional_intensity,108,-0.47688005219150226,,,False
disgust,PC1,threat,108,-0.1984355607499123,0.019268729425561622,0.9028967925267893,False
disgust,PC1,social_warmth,108,0.293569970861095,0.04042316769344662,0.862304827789852,True
disgust,PC1,certainty,108,-0.13325319311791659,-0.2703045639925142,-1.0285034652289344,True
disgust,PC1,agency,108,0.0746598392037983,-0.23288230287804143,-2.1192446348879037,False
disgust,PC1,blame,108,-0.23963377231782867,0.06717614300682082,0.7196716374446402,False
disgust,PC1,injustice,108,-0.2567989089776807,0.1150080057901241,0.552147607449065,False
disgust,PC1,relief,108,0.10150068034945994,0.04323984496864336,0.573994530679287,True
disgust,PC1,gratitude,108,0.18780122792982448,0.04838069200274798,0.7423835161459842,True
disgust,PC1,loneliness,108,0.08383931728840878,0.14556388552840416,-0.7362246048314269,True
disgust,PC1,disappointment,108,-0.32719365405716827,0.009852754395846135,0.9698870859086874,False
disgust,PC1,uncertainty,108,0.07880264667288861,0.23162793391000205,-1.939342061333223,True
disgust,PC1,hope,108,0.23916292109345721,0.08698682010242938,0.6362863452882912,True
