target_emotion,steering_mode,alpha_g,alpha_r,n_rows,mean_text_length_chars,mean_text_length_words,mean_repetition_rate
sadness,completion_tokens,5.0,-3.0,3,227.0,41.0,0.18100739839870272
sadness,completion_tokens,5.0,-1.5,3,255.66666666666666,46.333333333333336,0.1821127185051236
sadness,completion_tokens,5.0,1.5,3,224.33333333333334,40.666666666666664,0.12639919877459646
sadness,completion_tokens,5.0,3.0,3,245.33333333333334,47.333333333333336,0.18658334147055952
sadness,completion_tokens,5.0,5.0,3,277.6666666666667,52.666666666666664,0.23767282631310171
sadness,last_token,-5.0,-5.0,3,393.0,80.0,0.29536557991842544
sadness,last_token,-5.0,-3.0,3,336.3333333333333,66.66666666666667,0.21370658124900613
sadness,last_token,-5.0,-1.5,3,310.6666666666667,61.333333333333336,0.21681233116160814
sadness,last_token,-5.0,1.5,3,364.3333333333333,70.0,0.20714120714120712
sadness,last_token,-5.0,3.0,3,375.3333333333333,73.0,0.22927807486631016
sadness,last_token,-5.0,5.0,3,430.6666666666667,84.0,0.4139433882894801
sadness,last_token,-3.0,-5.0,3,347.6666666666667,64.66666666666667,0.25108094519859225
sadness,last_token,-3.0,-3.0,3,327.0,60.0,0.18650434695210813
sadness,last_token,-3.0,-1.5,3,339.0,61.666666666666664,0.1847316495203819
sadness,last_token,-3.0,1.5,3,354.3333333333333,65.33333333333333,0.1705096549540994
sadness,last_token,-3.0,3.0,3,379.3333333333333,70.66666666666667,0.19692646907388225
sadness,last_token,-3.0,5.0,3,366.6666666666667,71.0,0.24516860066853116
sadness,last_token,3.0,-5.0,3,248.66666666666666,44.666666666666664,0.18216483372610628
sadness,last_token,3.0,-3.0,3,280.3333333333333,52.333333333333336,0.1858579375267437
sadness,last_token,3.0,-1.5,3,274.6666666666667,50.0,0.16924524750611705
sadness,last_token,3.0,1.5,3,272.6666666666667,51.0,0.16307705555017382
sadness,last_token,3.0,3.0,3,251.66666666666666,48.666666666666664,0.14911469237385788
sadness,last_token,3.0,5.0,3,294.3333333333333,56.333333333333336,0.21248974392192424
sadness,last_token,5.0,-5.0,3,152.0,27.666666666666668,0.11014038231780165
sadness,last_token,5.0,-3.0,3,154.33333333333334,28.333333333333332,0.13992758784425452
sadness,last_token,5.0,-1.5,3,146.66666666666666,25.333333333333332,0.1205357142857143
sadness,last_token,5.0,1.5,3,160.66666666666666,28.666666666666668,0.1078817733990148
sadness,last_token,5.0,3.0,3,264.3333333333333,50.0,0.16871802984759796
sadness,last_token,5.0,5.0,3,225.66666666666666,45.0,0.27738681679568383
surprise,completion_tokens,-5.0,-5.0,3,237.0,42.666666666666664,0.20407710956723116
surprise,completion_tokens,-5.0,-3.0,3,307.6666666666667,54.333333333333336,0.18357787999865693
surprise,completion_tokens,-5.0,-1.5,3,348.0,68.66666666666667,0.23124733247972684
surprise,completion_tokens,-5.0,1.5,3,372.6666666666667,73.33333333333333,0.2593890141862157
surprise,completion_tokens,-5.0,3.0,3,413.6666666666667,84.66666666666667,0.27956159613824755
surprise,completion_tokens,-5.0,5.0,3,394.3333333333333,83.66666666666667,0.341991031267517
surprise,completion_tokens,-3.0,-5.0,3,196.66666666666666,35.333333333333336,0.11423849478769388
surprise,completion_tokens,-3.0,-3.0,3,233.0,45.0,0.20666666666666667
surprise,completion_tokens,-3.0,-1.5,3,347.6666666666667,64.33333333333333,0.19593046097433212
surprise,completion_tokens,-3.0,1.5,3,382.3333333333333,74.33333333333333,0.26864417140412006
surprise,completion_tokens,-3.0,3.0,3,396.0,77.66666666666667,0.22818627450980392
surprise,completion_tokens,-3.0,5.0,3,261.6666666666667,51.666666666666664,0.17925561029009304
surprise,completion_tokens,3.0,-5.0,3,107.66666666666667,21.333333333333332,0.05405405405405406
surprise,completion_tokens,3.0,-3.0,3,210.0,38.333333333333336,0.1392033542976939
surprise,completion_tokens,3.0,-1.5,3,248.0,46.333333333333336,0.14208563227281323
surprise,completion_tokens,3.0,1.5,3,311.3333333333333,56.666666666666664,0.19710259133632554
surprise,completion_tokens,3.0,3.0,3,392.6666666666667,76.33333333333333,0.262553261827799
surprise,completion_tokens,3.0,5.0,3,360.0,67.33333333333333,0.2934133194227091
surprise,completion_tokens,5.0,-5.0,3,93.33333333333333,16.666666666666668,0.09307359307359304
surprise,completion_tokens,5.0,-3.0,3,169.0,31.333333333333332,0.1317046433325503
surprise,completion_tokens,5.0,-1.5,3,224.33333333333334,39.0,0.11295687134502923
surprise,completion_tokens,5.0,1.5,3,262.6666666666667,49.666666666666664,0.16036324786324785
surprise,completion_tokens,5.0,3.0,3,356.6666666666667,70.66666666666667,0.3172127255460589
surprise,completion_tokens,5.0,5.0,3,330.6666666666667,67.33333333333333,0.45504614686486766
surprise,last_token,-5.0,-5.0,3,164.66666666666666,30.0,0.14561072700607583
surprise,last_token,-5.0,-3.0,3,220.33333333333334,41.333333333333336,0.13775105183773914
surprise,last_token,-5.0,-1.5,3,341.3333333333333,66.33333333333333,0.222609219126247
surprise,last_token,-5.0,1.5,3,348.6666666666667,69.66666666666667,0.20182965558219113
surprise,last_token,-5.0,3.0,3,416.3333333333333,84.33333333333333,0.31594114818475677
surprise,last_token,-5.0,5.0,3,405.0,79.0,0.3040584415584416
surprise,last_token,-3.0,-5.0,3,187.66666666666666,35.0,0.15649179445789616
surprise,last_token,-3.0,-3.0,3,308.6666666666667,54.666666666666664,0.19431643625192016
surprise,last_token,-3.0,-1.5,3,347.3333333333333,65.66666666666667,0.20074807884384108
surprise,last_token,-3.0,1.5,3,406.0,77.66666666666667,0.24102195179734312
